Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build
916	lsass.exe	0x7ffff55a0000	msv1_0.DLL	-	-	-	-
916	lsass.exe	0x7ffff5580000	NtlmShared.dll	10	0	26100	7705
916	lsass.exe	0x7ffff5470000	netlogon.DLL	-	-	-	-
916	lsass.exe	0x7ffff5460000	DSPARSE.dll	10	0	26100	1
916	lsass.exe	0x7ffff5440000	gmsaclient.dll	10	0	26100	7309
916	lsass.exe	0x7ffff53f0000	logoncli.dll	10	0	26100	7705
916	lsass.exe	0x7ffff53c0000	tspkg.DLL	10	0	26100	7309
916	lsass.exe	0x7ffff5370000	SspiCli.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5300000	pku2u.DLL	10	0	26100	7309
916	lsass.exe	0x7ffff52e0000	cryptdll.dll	10	0	26100	5074
916	lsass.exe	0x7ffff5230000	cloudAP.DLL	10	0	26100	8036
916	lsass.exe	0x7ffff51f0000	ntmarta.dll	10	0	26100	7019
916	lsass.exe	0x7ffff6260000	profapi.dll	10	0	26100	7309
916	lsass.exe	0x7ffff50f0000	aadcloudap.dll	10	0	26100	8036
916	lsass.exe	0x7ffff50d0000	kernel.appcore.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5070000	MicrosoftAccountCloudAP.dll	10	0	26100	7309
916	lsass.exe	0x7ffff5030000	rsaenh.dll	10	0	26100	7705
916	lsass.exe	0x7ffff4fe0000	wdigest.DLL	10	0	26100	7705
916	lsass.exe	0x7ffff4f10000	schannel.DLL	10	0	26100	7920
916	lsass.exe	0x7ffff4eb0000	sfapm.DLL	10	0	26100	7623
916	lsass.exe	0x7ffff61c0000	powrprof.dll	10	0	26100	3912
916	lsass.exe	0x7ffff61a0000	UMPDC.dll	10	0	26100	7019
916	lsass.exe	0x7ffff4e50000	dpapisrv.dll	10	0	26100	7920
916	lsass.exe	0x7ffff4e40000	DSROLE.dll	10	0	26100	1150
916	lsass.exe	0x7ffff4e20000	SspiSrv.dll	10	0	26100	7920
