L3498: 5432	StartMenuExper	0x7fffea0a0000	0x17000	usermgrcli.dll	C:\WINDOWS\SYSTEM32\usermgrcli.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3499: 5432	StartMenuExper	0x7fffdcfb0000	0x49000	AppExtension.dll	C:\Windows\System32\AppExtension.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3500: 5432	StartMenuExper	0x7fffed300000	0x60000	usermgrproxy.dll	C:\Windows\System32\usermgrproxy.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3501: 5432	StartMenuExper	0x7fffdf150000	0xaa000	appresolver.dll	C:\Windows\System32\appresolver.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3502: 5432	StartMenuExper	0x7fffd6bb0000	0x58000	biwinrt.dll	C:\Windows\System32\biwinrt.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3503: 5432	StartMenuExper	0x7fffdf710000	0x9d000	TileDataRepository.dll	C:\Windows\System32\TileDataRepository.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3504: 5432	StartMenuExper	0x7fffe89f0000	0xc7000	StateRepository.Core.dll	C:\WINDOWS\SYSTEM32\StateRepository.Core.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3505: 5432	StartMenuExper	0x7fffe8ad0000	0x502000	Windows.StateRepository.dll	C:\WINDOWS\SYSTEM32\Windows.StateRepository.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3506: 5432	StartMenuExper	0x7fffe3ee0000	0xca000	OneCoreCommonProxyStub.dll	C:\Windows\System32\OneCoreCommonProxyStub.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3507: 5432	StartMenuExper	0x7fffd6700000	0x4a4000	StartMenu.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\StartMenu.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3508: 5432	StartMenuExper	0x7fffe3950000	0x8c000	MSVCP140_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\MSVCP140_APP.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3509: 5432	StartMenuExper	0x7fffd6640000	0xb4000	COMCTL32.dll	C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.26100.8037_none_87ebc5097a2f9e52\COMCTL32.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3510: 5432	StartMenuExper	0x7fffe3b40000	0xc000	VCRUNTIME140_1_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\VCRUNTIME140_1_APP.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3511: 5432	StartMenuExper	0x7fffe3930000	0x1d000	VCRUNTIME140_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\VCRUNTIME140_APP.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3512: 5432	StartMenuExper	0x7ffff4a00000	0x33000	IPHLPAPI.DLL	C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3513: 5432	StartMenuExper	0x7ffff3c50000	0xd000	Secur32.dll	C:\WINDOWS\SYSTEM32\Secur32.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3514: 5432	StartMenuExper	0x7fffd6600000	0x3a000	Windows.Internal.System.UserProfile.dll	C:\Windows\System32\Windows.Internal.System.UserProfile.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3515: 5432	StartMenuExper	0x7fffec4f0000	0x18f000	Windows.Globalization.dll	C:\Windows\System32\Windows.Globalization.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3516: 5432	StartMenuExper	0x7fffe03b0000	0x138000	Windows.Security.Authentication.Web.Core.dll	C:\Windows\System32\Windows.Security.Authentication.Web.Core.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3517: 5432	StartMenuExper	0x7fffe1910000	0x39000	omadmapi.dll	C:\WINDOWS\SYSTEM32\omadmapi.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3518: 5432	StartMenuExper	0x7fffe1870000	0x91000	msvcp110_win.dll	C:\WINDOWS\SYSTEM32\msvcp110_win.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled

--- pstree.txt ---
