Volatility 3 Framework 2.28.1

Offset	Name
0x990ef71574a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_1920.db!dfMaintainer
0x990ef71576e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_16.db!dfMaintainer
0x990ef71579e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_wide_alternate.db!dfMaintainer
0x990ef7157c20	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_custom_stream.db!dfMaintainer
0x990ef71580a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_2560.db!dfMaintainer
0x990ef7158220	SM0:4796:120:WilError_03
0x990ef715a4a0	SM0:4796:304:WilStaging_02
0x990ef715af00	N/A
0x990ef715af10	N/A
0x990ef715b220	SM0:2348:120:WilError_03
0x990ef715c130	
0x990ef715c680	
0x990ef715d4a0	SM0:2348:304:WilStaging_02
0x990ef715e3a0	SM0:376:304:WilStaging_02
0x990ef715fcc0	N/A
0x990ef71621e0	SM0:5356:120:WilError_03
0x990ef71628a0	SM0:5356:304:WilStaging_02
0x990ef75a51d0	SM0:4476:304:WilStaging_02
0x990ef75a5890	_Microsoft_EdgeUpdate_logging_mutex_C:ProgramDataMicrosoftEdgeUpdateLogMicrosoftEdgeUpdate.log
0x990ef75a6190	SM0:4968:304:WilStaging_02
0x990ef75a6610	SM0:4584:120:WilError_03
0x990ef75a6c10	SM0:4384:120:WilError_03
0x990ef75a6f10	SM0:7996:120:WilError_03
0x990ef75a7210	SM0:4276:120:WilError_03
0x990ef75a75d0	SM0:4384:304:WilStaging_02
0x990ef75a7750	SM0:4340:304:WilStaging_02
0x990ef75a7bd0	SM0:4312:304:WilStaging_02
0x990ef75a87d0	SM0:4772:304:WilStaging_02
0x990ef75a8890	SM0:4476:120:WilError_03
0x990ef75a8d10	SessionImmersiveColorMutex
0x990ef75a9190	SM0:4312:120:WilError_03
0x990ef75a93d0	SM0:5144:304:WilStaging_02
0x990ef75a9e50	SM0:4968:120:WilError_03
0x990ef75aa2d0	SM0:4780:120:WilError_03
0x990ef75aa450	SM0:4584:304:WilStaging_02
0x990ef75aaa50	SM0:5112:120:WilError_03
0x990ef75ac310	SM0:3852:304:WilStaging_02
0x990ef75ae350	CDPUserSvc_Ready_db7a3b24-68b7-4c2e-8335-533dd99ee0f6_S-1-5-21-2244841714-2756559885-3422108526-1000
0x990ef75af0d0	SM0:4780:304:WilStaging_02
0x990ef75af490	SM0:4644:168:WilStaging_02
0x990ef75af910	SM0:4684:304:WilStaging_02
0x990ef75afa90	AccessibilitySoundAgentRunning
0x990ef75b14d0	SM0:5112:304:WilStaging_02
0x990ef75b2490	EdgeUpdate{09E661D0-A0CE-4051-BB50-E021BA16FBFC}
0x990ef75b2d90	SM0:4132:304:WilStaging_02
0x990ef75b4290	ShellHostMutex
0x990ef75b4410	SM0:1184:304:WilStaging_02
0x990ef75b4ad0	SM0:4276:304:WilStaging_02
0x990ef7887910	N/A
0x990ef78890d0	N/A
0x990ef788d630	N/A
0x990ef7890bf0	N/A
0x990ef7891d70	N/A
0x990ef7894b10	N/A
0x990ef7895150	N/A
0x990ef78988f0	N/A
0x990ef789a0b0	N/A
0x990ef789ad30	N/A
0x990ef7b02510	N/A
0x990ef7b02b50	N/A
0x990ef7b071f0	N/A
0x990ef7b0a2b0	N/A
0x990ef7b0f850	N/A
0x990ef7b102f0	N/A
0x990ef7b1b8d0	N/A
0x990ef7b1e3f0	N/A
0x990ef7b1e5d0	N/A
0x990ef7b1f110	N/A
0x990ef7b1f2f0	N/A
0x990ef7b1f750	N/A
0x990ef7b20650	N/A
0x990ef7b28cb0	N/A
0x990ef7b2c590	N/A
0x990ef7b2cbd0	N/A
0x990ef7b30b90	N/A
0x990ef7b3a730	N/A
0x990ef7b3c7b0	N/A
0x990ef7b3ce90	N/A
0x990ef7b3f0f0	N/A
0x990ef7b3f690	N/A
0x990ef7b403b0	N/A
0x990ef7d04390	ZonesCacheCounterMutex
